"Player","League_from","League_to","Fee","Season"
"Antonio Sanabria","LaLiga2","Serie A","5.13","13-14"
"Maarten Stekelenburg","Serie A","Premier League","5.04","13-14"
"Leroy Fer","Eredivisie","Premier League","4.95","13-14"
"Bruno Alves","Premier Liga","Süper Lig","4.95","13-14"
"Dwight Gayle","League One","Premier League","4.77","13-14"
"Vladimir Weiss","GSL","Stars League","4.77","13-14"
"Jérémy Toulalan","LaLiga","Ligue 1","4.5","13-14"
"Marko Devic","UPL","UPL","4.5","13-14"
"Raffael","UPL","Bundesliga","4.5","13-14"
"Andreas Granqvist","Serie A","Premier Liga","4.5","13-14"
"Lorenzo Melgarejo","Liga NOS","Premier Liga","4.5","13-14"
"Franck Tabanou","Ligue 1","Ligue 1","4.5","13-14"
"Aleksey Ionov","Premier Liga","Premier Liga","4.5","13-14"
"Rodrigo Moledo","Série A","Premier Liga","4.5","13-14"
"Anthony Martial","France","Ligue 1","4.5","13-14"
"Tomás Pina","LaLiga2","LaLiga","4.5","13-14"
"Tin Jedvaj","1.HNL","Serie A","4.5","13-14"
"Benjamin Corgnet","Ligue 1","Ligue 1","4.5","13-14"
"Rafael","Série A","Serie A","4.5","13-14"
"Thiago Silva","Serie A","Ligue 1","37.8","12-13"
"Lucas Moura","Série A","Ligue 1","36","12-13"
"Javi Martínez","LaLiga","Bundesliga","36","12-13"
"Hulk","Liga NOS","Premier Liga","36","12-13"
"Axel Witsel","Liga NOS","Premier Liga","36","12-13"
"Luka Modric","Premier League","LaLiga","31.5","12-13"
"Eden Hazard","Ligue 1","Premier League","31.5","12-13"
"Willian","UPL","UPL","31.5","12-13"
"Oscar","Série A","Premier League","28.8","12-13"
"Robin van Persie","Premier League","Premier League","27.63","12-13"
"Ezequiel Lavezzi","Serie A","Ligue 1","27","12-13"
"Zlatan Ibrahimovic","Serie A","Ligue 1","18.9","12-13"
"Javi García","Liga NOS","Premier League","18.18","12-13"
"Mario Balotelli","Premier League","Serie A","18","12-13"
"Alex Song","Premier League","LaLiga","17.1","12-13"
"Santi Cazorla","LaLiga","Premier League","17.1","12-13"
"Joe Allen","Premier League","Premier League","17.1","12-13"
"Mousa Dembélé","Premier League","Premier League","17.1","12-13"
"Lacina Traore","Premier Liga","Premier Liga","16.2","12-13"
"Kwadwo Asamoah","Serie A","Serie A","16.2","12-13"
"Marco Reus","Bundesliga","Bundesliga","15.39","12-13"
"Shinji Kagawa","Bundesliga","Premier League","14.4","12-13"
"Taison","UPL","UPL","13.72","12-13"
"Steven Fletcher","Championship","Premier League","13.68","12-13"
"Gastón Ramírez","Serie A","Premier League","13.68","12-13"
"Matija Nastasic","Serie A","Premier League","13.68","12-13"
"Alexandre Pato","Serie A","Série A","13.5","12-13"
"Lukas Podolski","2. Bundesliga","Premier League","13.5","12-13"
"Daniel Sturridge","Premier League","Premier League","13.5","12-13"
"Samir Handanovic","Serie A","Serie A","13.5","12-13"
"Jack Rodwell","Premier League","Premier League","13.5","12-13"
"Christopher Samba","Premier Liga","Premier League","13.5","12-13"
"Jordi Alba","LaLiga","LaLiga","12.6","12-13"
"Carlos Vela","Premier League","LaLiga","12.6","12-13"
"Mauricio Isla","Serie A","Serie A","12.51","12-13"
"Fabio Borini","Serie A","Premier League","11.97","12-13"
"Rafael van der Vaart","Premier League","Bundesliga","11.7","12-13"
"Mario Mandzukic","Bundesliga","Bundesliga","11.7","12-13"
"Lucas Ocampos","Torneo Final","Ligue 2","11.7","12-13"
"Philippe Coutinho","Serie A","Premier League","11.7","12-13"
"Hugo Lloris","Ligue 1","Premier League","11.34","12-13"
"Adam Johnson","Premier League","Premier League","11.34","12-13"
"Jan Vertonghen","Eredivisie","Premier League","11.25","12-13"
"Giampaolo Pazzini","Serie A","Serie A","11.25","12-13"
"Yann M'Vila","Ligue 1","Premier Liga","10.8","12-13"
"Olivier Giroud","Ligue 1","Premier League","10.8","12-13"
"Ola John","Eredivisie","Liga NOS","10.8","12-13"
"Luuk de Jong","Eredivisie","Bundesliga","10.8","12-13"
"Marco Verratti","Serie A","Ligue 1","10.8","12-13"
"Paulo Dybala","Primera B","Serie A","10.71","12-13"
"Xherdan Shaqiri","SSL","Bundesliga","10.62","12-13"
"Wilfried Zaha","Championship","Premier League","10.58","12-13"
"Victor Moses","Premier League","Premier League","10.35","12-13"
"Sebastian Giovinco","Serie A","Serie A","9.9","12-13"
"Fredy Guarín","Liga NOS","Serie A","9.9","12-13"
"Eduardo Salvio","LaLiga","Liga NOS","9.9","12-13"
"Manolo Gabbiadini","Serie A","Serie A","9.9","12-13"
"Mateo Kovacic","1.HNL","Serie A","9.9","12-13"
"Loïc Rémy","Ligue 1","Premier League","9.45","12-13"
"Rodrigo Palacio","Serie A","Serie A","9.45","12-13"
"Mário Fernandes","Série A","Premier Liga","9.45","12-13"
"Jordan Rhodes","Championship","Championship","9.09","12-13"
"Álvaro Pereira","Liga NOS","Serie A","9","12-13"
"Nilmar","LaLiga2","Stars League","9","12-13"
"Raúl Meireles","Premier League","Süper Lig","9","12-13"
"Marvin Martin","Ligue 1","Ligue 1","9","12-13"
"Álvaro Domínguez","LaLiga","Bundesliga","9","12-13"
"Gylfi Sigurdsson","Bundesliga","Premier League","9","12-13"
"Giuseppe Rossi","LaLiga2","Serie A","9","12-13"
"Nacho Monreal","LaLiga","Premier League","9","12-13"
"Matt Jarvis","Championship","Premier League","8.55","12-13"
"Ganso","Série A","Série A","8.19","12-13"
"Raffael","2. Bundesliga","Premier Liga","8.1","12-13"
"Salomón Rondón","LaLiga","Premier Liga","8.1","12-13"
"Jackson Martínez","Liga MX Clausura","Liga NOS","8","12-13"
"César Azpilicueta","Ligue 1","Premier League","7.92","12-13"
"Christian Benteke","Jupiler Pro League","Premier League","7.92","12-13"
"Jay Rodríguez","Championship","Premier League","7.79","12-13"
"Nordin Amrabat","Süper Lig","Süper Lig","7.74","12-13"
"Demba Ba","Premier League","Premier League","7.65","12-13"
"Lucas Barrios","Bundesliga","Super League","7.65","12-13"
"Granit Xhaka","SSL","Bundesliga","7.65","12-13"
"Vurnon Anita","Eredivisie","Premier League","7.65","12-13"
"Diego Souza","Série A","Professional League","7.38","12-13"
"Marko Marin","Bundesliga","Premier League","7.2","12-13"
"Martín Cáceres","LaLiga","Serie A","7.2","12-13"
"Mapou Yanga-Mbiwa","Ligue 1","Premier League","7.2","12-13"
"Aleksandr Samedov","Premier Liga","Premier Liga","7.2","12-13"
"Rômulo","Série A","Premier Liga","7.2","12-13"
"Davide Faraoni","Serie A","Serie A","7.2","12-13"
"Marco Ruben","LaLiga2","Premier Liga","7.2","12-13"
"Valon Behrami","Serie A","Serie A","7.2","12-13"
"Esteban Granero","LaLiga","Premier League","7.2","12-13"
"Ivan Perisic","Bundesliga","Bundesliga","7.2","12-13"
"Kévin Constant","Serie A","Serie A","7.2","12-13"
"Scott Sinclair","Premier League","Premier League","7.02","12-13"
"Kevin Mirallas","GSL","Premier League","6.89","12-13"
"Wesley Sneijder","Serie A","Süper Lig","6.75","12-13"
"Clint Dempsey","Premier League","Premier League","6.75","12-13"
"Asamoah Gyan","Premier League","Pro-League","6.75","12-13"
"Goran Pandev","Serie A","Serie A","6.75","12-13"
"Miguel Veloso","Serie A","Premier Liga","6.75","12-13"
"Nick Powell","League One","Premier League","6.75","12-13"
"Sergio Canales","LaLiga","LaLiga","6.75","12-13"
"Yura Movsisyan","Premier Liga","Premier Liga","6.75","12-13"
"Burak Yilmaz","Süper Lig","Süper Lig","6.3","12-13"
"Borja Valero","LaLiga2","Serie A","6.3","12-13"
"Milos Krasic","Serie A","Süper Lig","6.3","12-13"
"Mattia Destro","Serie A","Serie A","6.3","12-13"
"Pablo Hernández","LaLiga","Premier League","6.3","12-13"
"Bas Dost","Eredivisie","Bundesliga","6.3","12-13"
"Philipp Wollscheid","Bundesliga","Bundesliga","6.3","12-13"
"Niko Kranjcar","Premier League","Premier Liga","6.3","12-13"
"Vedran Corluka","Premier League","Premier Liga","6.3","12-13"
"Sung-yueng Ki","Premiership","Premier League","6.3","12-13"
"Alessio Cerci","Serie A","Serie A","6.08","12-13"
"Renato Augusto","Bundesliga","Série A","6.03","12-13"
"Alberto Paloschi","Serie A","Serie A","5.85","12-13"
"Luís Neto","Serie A","Premier Liga","5.85","12-13"
"Emmanuel Adebayor","Premier League","Premier League","5.76","12-13"
"Mathieu Debuchy","Ligue 1","Premier League","5.58","12-13"
"Charlie Adam","Premier League","Premier League","5.58","12-13"
"Stéphane Mbia","Ligue 1","Premier League","5.4","12-13"
"Gregory van der Wiel","Eredivisie","Ligue 1","5.4","12-13"
"Rasmus Elm","Eredivisie","Premier Liga","5.4","12-13"
